dt,open,high,low,close,vol_btc,vol_usd,rv_5m,rv_park
2012-01-01,4.58,5.0,4.58,5.0,21.602,105.77915999999999,0.06408224419624328,0.038485309754716666
2012-01-02,5.0,5.0,5.0,5.0,19.048,95.24,0.0,0.0
2012-01-03,5.0,5.32,5.0,5.29,88.03728092,464.8052095058,0.08516423690391549,0.04610229824063998
2012-01-04,5.29,5.57,4.93,5.57,107.23326023000001,573.7080585988001,0.09821127625540366,0.058724385449969684
2012-01-05,5.57,6.65,5.57,6.65,94.80182926,588.4010478073001,0.0683326860416521,0.043106702801806215
2012-01-06,6.65,6.9,6.0,6.0,33.88274671,223.53871662490002,0.07158962181584942,0.056587388453737786
2012-01-07,6.0,6.8,6.0,6.8,0.29585799,2.011834332,0.1251631429540061,0.07516812787809922
2012-01-08,6.8,7.0,6.8,7.0,5.0,34.6,0.020497822079540512,0.01231019671552694
2012-01-09,7.0,7.0,6.23,6.3,66.8693229,442.8461797182,0.08788872101577572,0.052275382799231246
2012-01-10,6.3,7.14,6.24,7.14,62.28998018,413.2040844179,0.09360146118939515,0.052973099716439466
2012-01-11,7.14,7.33,6.25,7.0,105.35893401999999,743.749874141,0.1884066429855106,0.11314972042706267
2012-01-12,7.0,7.38,6.51,6.51,82.30163181,598.0616310296,0.18989023003211442,0.1150272510336361
2012-01-13,6.51,7.36,6.51,6.6,48.970144839999996,344.7935289092,0.1673483302297521,0.08002273831384263
2012-01-14,6.6,6.6,6.3,6.3,16.836,108.417846903,0.026860496134702063,0.016131371909256283
2012-01-15,6.3,7.15,6.3,7.15,16.6993007,119.40000000500001,0.12656272330842944,0.07600866154139686
2012-01-16,7.15,7.15,6.2,7.1,12.64929577,86.749999967,0.1967150421403689,0.11813942263008398
2012-01-17,7.1,7.1,6.0,6.0,80.51400824000001,493.130463893,0.1545321271198161,0.10556111971277736
2012-01-18,6.0,7.1,5.99,7.1,133.44676912,826.9024469742,0.2127073901193027,0.127739878377797
2012-01-19,7.1,7.1,5.52,6.22,246.71581895,1542.2212267916,0.4161758277851139,0.2541390998596364
2012-01-20,6.22,6.95,6.22,6.95,95.82599863,647.201739156,0.127814534918095,0.076760451029371
2012-01-21,6.95,6.95,6.28,6.77,81.41385241,512.26257306,0.12367888806649889,0.07577764209619585
2012-01-22,6.77,6.83,6.03,6.79,81.27103303,501.4066072173,0.15267500975979914,0.08836770149040683
2012-01-23,6.79,6.79,6.0,6.52,94.92062908999999,608.4838474815999,0.0991791853276136,0.060295013906727764
2012-01-24,6.52,6.57,6.0,6.55,85.44624147,550.6356605427001,0.13013924172979213,0.0615980614872984
2012-01-25,6.55,6.86,6.0,6.31,81.1232564,505.8863592615,0.16279433734366427,0.10491634684843548
2012-01-26,6.31,6.31,5.5,5.5,29.91907058,183.9801518551,0.1490935748427469,0.08163317876949407
2012-01-27,5.5,6.03,3.8,5.88,92.07999287,528.4378821385001,0.250659214756911,0.3106906040219316
