feature,h,n,ic,t_nw,yr_sign_consistency,n_years
ret_1d,1,3652,-0.01978569423795917,-1.1181762443324479,0.7,10
ret_3d,1,3650,0.01853981807198306,1.04137387828885,0.3,10
ret_7d,1,3646,0.053137514382490626,3.0176120446980303,0.6,10
ret_14d,1,3639,0.06286406132363885,3.468565510524112,0.8,10
ret_30d,1,3623,0.06463613485292206,3.517509199287577,0.7,10
ret_90d,1,3563,0.0669750300794805,3.633795625388211,0.4,10
ma_z_30,1,3624,0.07561298347952147,4.506035060218596,0.8,10
ma_z_90,1,3564,0.09253185583646546,5.3027376726114035,0.6,10
ma_z_200,1,3454,0.08753188686569263,4.837416896892595,0.5,10
dd_90,1,3564,0.07627813567829372,4.296182256844414,0.5,10
ru_90,1,3564,0.061604886592631886,3.44001668525071,0.4,10
rangepos_7,1,3647,0.03525395167317642,2.0994266965478015,0.4,10
rv,1,3653,0.043226779023164456,2.6414428270295036,0.9,10
rv_ratio_3_30,1,3624,0.04391774058287182,2.586507741921312,0.8,10
rv_rank,1,3474,0.06488577706361283,3.8863343840965303,0.9,10
park_ratio,1,3624,0.04642699754924861,2.7563354592901788,0.9,10
volu_z_7_90,1,3472,0.09478425580625571,5.36327673413471,0.7,10
spotvol_z,1,3564,0.07566903599016889,4.293224296839225,0.6,10
upvol_share_7,1,3647,0.059799109012744045,3.6419375046104503,0.7,10
mvrv,1,3653,0.055979782100972084,3.2086370926678986,0.3,10
mvrv_rank,1,3474,0.09735589887618076,5.682724298436026,0.6,10
mvrv_ch_30,1,3623,0.07026215089082334,3.860460460219466,0.7,10
netflow_7,1,3647,0.0019894463085882727,0.11757651185527748,0.5,10
netflow_30,1,3624,0.01271892512858071,0.7625302028103474,0.6,10
netflow_rank,1,3468,0.002724988220892561,0.1556190738237172,0.5,10
splyex_ch_7,1,3646,0.00144608867833987,0.0854063989168301,0.5,10
splyex_ch_30,1,3623,0.013463273097685823,0.8057423892203931,0.6,10
flowin_z,1,3564,0.05763476386055808,3.258921767870256,0.8,10
adr_mom_30,1,3617,0.041290444347257475,2.3614379825933893,0.5,10
adr_px_div,1,3617,-0.04699580998408564,-2.653255089985679,0.5,10
